eto_lead_whatsapp_feedback_response_id,feedback_date,feedback_modref_id,feedback_modref_type,feedback_remarks,fk_buyer_glusr_usr_id,fk_eto_lead_whatsapp_template_id,fk_supplier_glusr_usr_id,im_whatsapp_msg_sent_date,response_flag
2660,02/07/24 10:36,107033619267.0,1.0,Not Satisfied,102158738.0,11.0,,02/07/24 10:36,-789.0
2662,02/07/24 10:20,107067083046.0,1.0,Satisfied,40325880.0,11.0,,02/07/24 10:20,111.0
2667,02/07/24 10:04,107064281652.0,1.0,Satisfied,16249536.0,11.0,,02/07/24 10:04,111.0
2675,02/07/24 10:24,107065159352.0,1.0,Satisfied,81864819.0,11.0,,02/07/24 10:24,111.0
2678,02/07/24 10:03,107083071167.0,1.0,Satisfied,188124012.0,11.0,,02/07/24 10:03,111.0
2681,02/07/24 10:33,107071284734.0,1.0,Satisfied,78024282.0,11.0,,02/07/24 10:33,111.0
2683,02/07/24 10:33,107089813367.0,1.0,Satisfied,200166629.0,11.0,,02/07/24 10:33,111.0
2685,02/07/24 10:17,107057622646.0,1.0,Not Satisfied,213624376.0,11.0,,02/07/24 10:17,-234.0
2687,02/07/24 10:18,107047009375.0,1.0,Satisfied,37979512.0,11.0,,02/07/24 10:18,111.0
2688,02/07/24 10:13,107096349152.0,1.0,Not Satisfied,6888777.0,11.0,,02/07/24 10:13,-234.0
2689,02/07/24 10:34,107050117185.0,1.0,Satisfied,31437116.0,11.0,,02/07/24 10:34,111.0
2694,02/07/24 10:07,107075516295.0,1.0,Satisfied,44556429.0,11.0,,02/07/24 10:07,111.0
2696,02/07/24 10:35,107060886859.0,1.0,Not Satisfied,22928727.0,11.0,,02/07/24 10:35,-234.0
324,02/07/24 10:05,107081571663.0,1.0,Not Satisfied,160825097.0,11.0,,02/07/24 10:05,-789.0
325,02/07/24 10:05,107083313859.0,1.0,Not Satisfied,27461674.0,11.0,,02/07/24 10:05,-234.0
326,02/07/24 10:02,107063275113.0,1.0,Satisfied,150986593.0,11.0,59413671.0,02/07/24 10:02,333.0
327,02/07/24 10:05,107072811395.0,1.0,Satisfied,99706315.0,11.0,,02/07/24 10:05,111.0
330,02/07/24 10:01,107060915659.0,1.0,Satisfied,149105780.0,11.0,,02/07/24 10:01,111.0
334,02/07/24 10:01,107060915659.0,1.0,Satisfied,149105780.0,11.0,,02/07/24 10:01,111.0
336,02/07/24 10:06,107079324963.0,1.0,Satisfied,84383806.0,11.0,,02/07/24 10:06,111.0
338,02/07/24 10:05,107082379075.0,1.0,Satisfied,152925124.0,11.0,,02/07/24 10:05,1000.0
342,02/07/24 10:02,107059180846.0,1.0,Satisfied,199312284.0,11.0,,02/07/24 10:02,111.0
343,02/07/24 10:02,107059180846.0,1.0,Satisfied,199312284.0,11.0,,02/07/24 10:02,111.0
344,02/07/24 10:04,107080697834.0,1.0,Not Satisfied,127140769.0,11.0,,02/07/24 10:04,-234.0
345,02/07/24 10:04,107080697834.0,1.0,Not Satisfied,127140769.0,11.0,,02/07/24 10:04,-234.0
346,02/07/24 10:04,107080697834.0,1.0,Not Satisfied,127140769.0,11.0,,02/07/24 10:04,-234.0
347,02/07/24 10:01,107065359795.0,1.0,Satisfied,180477225.0,11.0,,02/07/24 10:01,111.0
